989,78.5,50,88,93.7,10.4,yes,
925,83,39,94.6,96.4,6,no,
968,78.2,60,92.8,96.1,6.8,no,
984,77.4,65,81.5,-1,14.5,yes,
954,65,74,90.1,-1,9.7,yes,
956,78.4,48,90.5,-1,9,yes,
969,79.6,63,92.7,94.8,11,yes,
985,76.7,62,91,92.9,10.9,yes,
1044,79.6,58,95,-1,6.2,yes,
941,87.4,54,96.4,96.2,3.6,yes,
974,77.6,56,88.5,96.1,10.7,no,
975,70.1,61,87,95.9,12.6,yes,
976,66,50,80.9,92.5,14.2,yes,
956,58.9,48,94.9,96.3,2.9,yes,
919,53.5,52,92.5,-1,2.7,yes,
1015,62.6,40,96.1,97.2,3,yes,
992,55.7,44,91.9,-1,4.5,yes,
986,64.2,40,94.9,-1,3.3,yes,
923,63.7,49,92.1,96.9,4.3,yes,
1003,63.7,41,92.2,96.7,4.6,yes,
991,63.8,48,94.9,95.8,3.2,yes,
915,53.1,44,94.7,95.7,2.3,yes,
1046,61,49,91.3,95.6,4.4,yes,
949,60,46,98.4,99.2,1,yes,
1006,51.5,51,88.5,-1,5.8,yes,
1010,59.6,47,95.4,95.7,2.8,yes,
960,65.9,48,97.7,-1,2.2,yes,
990,53.9,52,92.3,98.5,5.4,yes,
900,59.9,59,96.6,99.8,1.7,yes,
1036,54.7,56,89.3,95.8,7.1,yes,
963,59.1,45,93,95.3,3.6,yes,
914,54,64,95.9,-1,1.9,yes,
920,52.6,48,95,-1,2.2,yes,
930,66.5,43,93.7,97.1,3.9,yes,
938,61.2,55,97.7,99.3,1.3,yes,
1014,58.5,47,91.6,96.9,3.7,yes,
1069,54.5,46,91.3,94.2,3.6,yes,
894,52,48,97.6,98.6,1.4,yes,
935,69.4,31,91.3,97.9,3.8,yes,
901,52.8,48,97.6,-1,4.3,yes,
961,53.6,53,95.9,-1,1.4,yes,
998,66.5,44,96.2,96.3,3.2,yes,
919,55.2,55,90,97.6,3.9,yes,
913,56.2,49,99.2,-1,0.6,yes,
999,62.4,49,98.7,96.8,0.8,yes,
1022,58.6,51,91.2,94.4,3.9,yes,
928,51.5,43,94.9,-1,3.8,yes,
931,54,60,95.2,-1,1.8,yes,
965,65.5,43,98.6,99,0.8,yes,
940,54.3,58,95.6,-1,1.8,yes,
956,63.1,40,98.3,99.5,1.1,yes,
973.58,67.05,45.78,93.94,96.86,4.6,yes,
986.5,57.33,39.56,93.25,98.6,3.64,yes,
948.43,69.45,38.39,92.28,95.58,5.39,yes,
1004.72,44.46,43.99,85.9,98.07,4.84,yes,
995.43,75.8,47.2,95.85,95.82,4.88,yes,
988.53,75.71,34.93,95.13,97.88,4.32,yes,
966.78,66.41,46.14,94.99,96.34,4.04,yes,
969.53,61.29,56.17,94.12,-1,4.98,yes,
998.84,72.88,45.72,97.68,-1,2.36,yes,
984.98,59.41,57.25,91.9,-1,5.36,yes,
960.49,70.92,48.14,93.93,96.93,4.44,yes,
937.3,65.8,51.82,96.43,98.24,2.85,yes,
1006.16,64.93,57.25,93.84,91.68,6.02,yes,
986.23,65.06,55,93.61,96.68,6,yes,
963.23,69.49,44.98,94.15,96.39,4.72,yes,
